************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    10
engine_to_start      20
steps                302
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0   	R1   	R2   	R3   	R4   	R5   	R6   	R7   	R8   	R9   	R10  	R11  	R12  	R13  	R14  	R15  	R16  	R17  	R18  	R19  	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
algorithm compare
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
datafile  	time_cost                                                                                           	|ontime_proportion                                                                                   	|max_delay                                                                                           	|avg_delay                                                                                           	|avg_flowtime                                                                                        	|object_function_value                                                                               	|
          	RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|
1_5       	205ms             	181ms             	63894ms           	66174ms           	56063ms             	|0.933333          	0.933333          	1.000000          	0.966667          	1.000000            	|4                 	2                 	0                 	2                 	0                   	|0.200000          	0.133333          	0.000000          	0.066667          	0.000000            	|19.166667         	19.033333         	18.100000         	18.166667         	18.100000           	|305.555556        	301.111111        	-396.666667       	-61.111111        	-396.666667         	|
1_6       	875ms             	188ms             	64906ms           	76196ms           	57099ms             	|0.933333          	0.900000          	0.966667          	1.000000          	1.000000            	|3                 	2                 	1                 	0                 	0                   	|0.200000          	0.166667          	0.033333          	0.000000          	0.000000            	|19.733333         	19.766667         	19.400000         	20.266667         	19.466667           	|324.444444        	658.888889        	-20.000000        	-324.444444       	-351.111111         	|
1_7       	1093ms            	190ms             	79526ms           	73080ms           	61420ms             	|1.000000          	1.000000          	1.000000          	1.000000          	1.000000            	|0                 	0                 	0                 	0                 	0                   	|0.000000          	0.000000          	0.000000          	0.000000          	0.000000            	|17.600000         	18.433333         	17.233333         	17.133333         	17.000000           	|-413.333333       	-385.555556       	-425.555556       	-428.888889       	-433.333333         	|
1_8       	1033ms            	199ms             	64456ms           	67639ms           	54379ms             	|0.966667          	0.933333          	1.000000          	1.000000          	1.000000            	|1                 	1                 	0                 	0                 	0                   	|0.033333          	0.066667          	0.000000          	0.000000          	0.000000            	|18.900000         	19.400000         	17.966667         	18.366667         	18.066667           	|-36.666667        	313.333333        	-401.111111       	-387.777778       	-397.777778         	|
1_9       	1605ms            	207ms             	64527ms           	65701ms           	52619ms             	|1.000000          	0.933333          	1.000000          	1.000000          	1.000000            	|0                 	1                 	0                 	0                 	0                   	|0.000000          	0.066667          	0.000000          	0.000000          	0.000000            	|19.133333         	19.733333         	17.933333         	18.000000         	17.833333           	|-362.222222       	324.444444        	-402.222222       	-400.000000       	-405.555556         	|
1_10      	676ms             	182ms             	62844ms           	65609ms           	54127ms             	|1.000000          	1.000000          	1.000000          	1.000000          	1.000000            	|0                 	0                 	0                 	0                 	0                   	|0.000000          	0.000000          	0.000000          	0.000000          	0.000000            	|17.866667         	18.166667         	17.166667         	17.133333         	17.233333           	|-404.444444       	-394.444444       	-427.777778       	-428.888889       	-425.555556         	|
1_11      	509ms             	219ms             	65796ms           	67638ms           	55031ms             	|0.933333          	0.966667          	1.000000          	1.000000          	1.000000            	|2                 	2                 	0                 	0                 	0                   	|0.133333          	0.066667          	0.000000          	0.000000          	0.000000            	|20.700000         	21.133333         	19.466667         	20.033333         	19.700000           	|356.666667        	37.777778         	-351.111111       	-332.222222       	-343.333333         	|
1_12      	718ms             	193ms             	65897ms           	67069ms           	64334ms             	|0.900000          	0.966667          	1.000000          	1.000000          	1.000000            	|7                 	4                 	0                 	0                 	0                   	|0.500000          	0.133333          	0.000000          	0.000000          	0.000000            	|21.400000         	20.233333         	19.666667         	20.200000         	19.633333           	|713.333333        	7.777778          	-344.444444       	-326.666667       	-345.555556         	|
1_13      	500ms             	179ms             	63691ms           	66090ms           	56381ms             	|0.900000          	0.900000          	1.000000          	1.000000          	1.000000            	|3                 	2                 	0                 	0                 	0                   	|0.166667          	0.133333          	0.000000          	0.000000          	0.000000            	|19.733333         	19.666667         	18.600000         	19.133333         	18.633333           	|657.777778        	655.555556        	-380.000000       	-362.222222       	-378.888889         	|
1_14      	650ms             	176ms             	62710ms           	67624ms           	53947ms             	|0.866667          	0.833333          	0.866667          	0.866667          	0.900000            	|10                	9                 	9                 	8                 	8                   	|0.766667          	0.633333          	0.666667          	0.600000          	0.533333            	|21.166667         	21.600000         	21.066667         	20.866667         	20.700000           	|1038.888889       	1386.666667       	1035.555556       	1028.888889       	690.000000          	|
1_15      	1268ms            	213ms             	64219ms           	75898ms           	57217ms             	|0.900000          	0.966667          	1.000000          	1.000000          	1.000000            	|5                 	2                 	0                 	0                 	0                   	|0.300000          	0.066667          	0.000000          	0.000000          	0.000000            	|19.600000         	19.300000         	18.333333         	18.500000         	18.366667           	|653.333333        	-23.333333        	-388.888889       	-383.333333       	-387.777778         	|
1_16      	456ms             	189ms             	66404ms           	62286ms           	54912ms             	|0.900000          	0.966667          	1.000000          	1.000000          	1.000000            	|3                 	2                 	0                 	0                 	0                   	|0.166667          	0.066667          	0.000000          	0.000000          	0.000000            	|20.133333         	20.366667         	18.833333         	18.866667         	18.766667           	|671.111111        	12.222222         	-372.222222       	-371.111111       	-374.444444         	|
1_17      	495ms             	174ms             	69770ms           	72961ms           	56544ms             	|0.933333          	0.966667          	1.000000          	1.000000          	1.000000            	|1                 	3                 	0                 	0                 	0                   	|0.066667          	0.100000          	0.000000          	0.000000          	0.000000            	|20.566667         	20.966667         	19.533333         	19.700000         	19.366667           	|352.222222        	32.222222         	-348.888889       	-343.333333       	-354.444444         	|
1_18      	660ms             	189ms             	68468ms           	69797ms           	61711ms             	|1.000000          	1.000000          	1.000000          	1.000000          	1.000000            	|0                 	0                 	0                 	0                 	0                   	|0.000000          	0.000000          	0.000000          	0.000000          	0.000000            	|16.533333         	16.600000         	15.700000         	15.966667         	15.866667           	|-448.888889       	-446.666667       	-476.666667       	-467.777778       	-471.111111         	|
1_19      	249ms             	215ms             	60476ms           	61195ms           	55921ms             	|1.000000          	0.966667          	1.000000          	1.000000          	1.000000            	|0                 	1                 	0                 	0                 	0                   	|0.000000          	0.033333          	0.000000          	0.000000          	0.000000            	|18.033333         	18.333333         	17.100000         	17.333333         	17.400000           	|-398.888889       	-55.555556        	-430.000000       	-422.222222       	-420.000000         	|
2_0       	258ms             	184ms             	62362ms           	66562ms           	53387ms             	|0.866667          	0.833333          	0.966667          	0.966667          	0.966667            	|5                 	4                 	5                 	6                 	4                   	|0.466667          	0.433333          	0.166667          	0.200000          	0.133333            	|22.166667         	22.900000         	21.533333         	21.800000         	21.533333           	|1072.222222       	1430.000000       	51.111111         	60.000000         	51.111111           	|
2_1       	227ms             	245ms             	67559ms           	71675ms           	58918ms             	|0.766667          	0.800000          	0.866667          	0.866667          	0.866667            	|6                 	5                 	6                 	5                 	5                   	|0.666667          	0.533333          	0.600000          	0.466667          	0.466667            	|22.266667         	21.966667         	21.200000         	21.333333         	21.400000           	|2075.555556       	1732.222222       	1040.000000       	1044.444444       	1046.666667         	|
2_2       	252ms             	189ms             	65549ms           	69145ms           	59992ms             	|0.833333          	0.800000          	0.900000          	0.900000          	0.900000            	|5                 	5                 	4                 	6                 	6                   	|0.466667          	0.666667          	0.300000          	0.500000          	0.466667            	|21.266667         	22.100000         	21.100000         	21.000000         	20.966667           	|1375.555556       	1736.666667       	703.333333        	700.000000        	698.888889          	|
2_3       	187ms             	189ms             	68048ms           	73918ms           	60988ms             	|0.833333          	0.833333          	0.900000          	0.900000          	0.900000            	|5                 	4                 	3                 	3                 	3                   	|0.500000          	0.433333          	0.200000          	0.200000          	0.200000            	|20.733333         	20.700000         	19.700000         	19.566667         	19.700000           	|1357.777778       	1356.666667       	656.666667        	652.222222        	656.666667          	|
2_4       	220ms             	240ms             	65637ms           	75371ms           	55262ms             	|0.833333          	0.800000          	1.000000          	0.966667          	0.966667            	|5                 	4                 	0                 	4                 	6                   	|0.500000          	0.400000          	0.000000          	0.133333          	0.200000            	|22.866667         	23.566667         	22.700000         	23.200000         	22.566667           	|1428.888889       	1785.555556       	-243.333333       	106.666667        	85.555556           	|
2_5       	191ms             	184ms             	69777ms           	66930ms           	55894ms             	|0.833333          	0.866667          	0.933333          	0.966667          	0.966667            	|5                 	4                 	2                 	5                 	2                   	|0.433333          	0.266667          	0.100000          	0.166667          	0.066667            	|21.733333         	22.366667         	22.133333         	21.766667         	21.800000           	|1391.111111       	1078.888889       	404.444444        	58.888889         	60.000000           	|
2_6       	316ms             	174ms             	67838ms           	68346ms           	56089ms             	|0.866667          	0.866667          	0.966667          	0.966667          	0.966667            	|5                 	4                 	5                 	5                 	4                   	|0.400000          	0.266667          	0.166667          	0.166667          	0.133333            	|22.633333         	22.100000         	21.333333         	21.400000         	21.533333           	|1087.777778       	1070.000000       	44.444444         	46.666667         	51.111111           	|
2_7       	199ms             	202ms             	65207ms           	65889ms           	62024ms             	|0.800000          	0.900000          	0.933333          	0.933333          	0.966667            	|4                 	6                 	2                 	2                 	5                   	|0.433333          	0.400000          	0.133333          	0.100000          	0.166667            	|19.366667         	19.933333         	19.366667         	19.300000         	19.133333           	|1645.555556       	664.444444        	312.222222        	310.000000        	-28.888889          	|
2_8       	247ms             	184ms             	63606ms           	64895ms           	56204ms             	|0.933333          	0.866667          	0.966667          	0.966667          	0.966667            	|4                 	5                 	2                 	3                 	2                   	|0.233333          	0.466667          	0.066667          	0.100000          	0.066667            	|19.533333         	20.366667         	18.933333         	18.866667         	18.933333           	|317.777778        	1012.222222       	-35.555556        	-37.777778        	-35.555556          	|
2_9       	197ms             	217ms             	66326ms           	65968ms           	57670ms             	|0.666667          	0.666667          	0.766667          	0.766667          	0.766667            	|10                	10                	8                 	8                 	9                   	|1.966667          	1.933333          	1.333333          	1.233333          	1.533333            	|21.733333         	22.500000         	20.833333         	20.800000         	20.966667           	|3057.777778       	3083.333333       	2027.777778       	2026.666667       	2032.222222         	|
2_10      	192ms             	204ms             	66068ms           	69875ms           	57068ms             	|0.833333          	0.833333          	0.933333          	0.933333          	0.900000            	|3                 	5                 	3                 	2                 	4                   	|0.300000          	0.500000          	0.166667          	0.100000          	0.300000            	|22.400000         	22.733333         	21.366667         	21.800000         	21.666667           	|1413.333333       	1424.444444       	378.888889        	393.333333        	722.222222          	|
2_11      	329ms             	189ms             	66043ms           	67832ms           	56178ms             	|0.833333          	0.766667          	0.966667          	1.000000          	1.000000            	|4                 	4                 	2                 	0                 	0                   	|0.300000          	0.433333          	0.066667          	0.000000          	0.000000            	|21.700000         	22.233333         	21.100000         	21.666667         	21.466667           	|1390.000000       	2074.444444       	36.666667         	-277.777778       	-284.444444         	|
2_12      	257ms             	222ms             	66517ms           	74441ms           	62976ms             	|0.766667          	0.666667          	0.900000          	0.933333          	0.900000            	|3                 	5                 	4                 	5                 	5                   	|0.466667          	1.066667          	0.233333          	0.300000          	0.300000            	|22.166667         	23.266667         	21.700000         	21.833333         	21.266667           	|2072.222222       	3108.888889       	723.333333        	394.444444        	708.888889          	|
2_13      	230ms             	180ms             	61373ms           	67126ms           	59189ms             	|0.833333          	0.766667          	0.933333          	0.933333          	0.933333            	|4                 	6                 	3                 	3                 	3                   	|0.400000          	0.766667          	0.133333          	0.133333          	0.166667            	|21.766667         	22.866667         	21.366667         	21.100000         	21.566667           	|1392.222222       	2095.555556       	378.888889        	370.000000        	385.555556          	|
2_14      	240ms             	183ms             	64797ms           	60230ms           	55871ms             	|0.833333          	0.800000          	0.900000          	0.900000          	0.900000            	|4                 	3                 	5                 	5                 	4                   	|0.366667          	0.366667          	0.333333          	0.333333          	0.266667            	|19.666667         	19.833333         	19.033333         	19.333333         	19.166667           	|1322.222222       	1661.111111       	634.444444        	644.444444        	638.888889          	|
2_15      	232ms             	174ms             	67306ms           	64017ms           	57603ms             	|0.866667          	0.833333          	0.966667          	0.933333          	0.966667            	|5                 	4                 	3                 	3                 	2                   	|0.466667          	0.400000          	0.100000          	0.166667          	0.066667            	|21.000000         	20.900000         	20.233333         	20.033333         	20.233333           	|1033.333333       	1363.333333       	7.777778          	334.444444        	7.777778            	|
2_16      	181ms             	191ms             	68058ms           	67741ms           	56038ms             	|0.900000          	0.933333          	0.966667          	0.966667          	0.966667            	|3                 	4                 	3                 	3                 	1                   	|0.233333          	0.233333          	0.100000          	0.100000          	0.033333            	|22.000000         	22.233333         	20.933333         	21.033333         	20.866667           	|733.333333        	407.777778        	31.111111         	34.444444         	28.888889           	|
2_17      	269ms             	197ms             	66381ms           	68506ms           	56623ms             	|0.600000          	0.700000          	0.866667          	0.866667          	0.866667            	|6                 	7                 	5                 	4                 	6                   	|1.433333          	1.200000          	0.433333          	0.366667          	0.466667            	|24.200000         	24.466667         	22.700000         	22.833333         	22.700000           	|3806.666667       	2815.555556       	1090.000000       	1094.444444       	1090.000000         	|
2_18      	204ms             	170ms             	68698ms           	71448ms           	57838ms             	|0.766667          	0.800000          	0.933333          	0.900000          	0.933333            	|7                 	7                 	2                 	4                 	6                   	|1.033333          	0.766667          	0.133333          	0.333333          	0.266667            	|24.333333         	25.033333         	24.366667         	23.833333         	23.900000           	|2144.444444       	1834.444444       	478.888889        	794.444444        	463.333333          	|
2_19      	227ms             	200ms             	73128ms           	74837ms           	63653ms             	|0.900000          	0.933333          	1.000000          	1.000000          	1.000000            	|3                 	3                 	0                 	0                 	0                   	|0.200000          	0.133333          	0.000000          	0.000000          	0.000000            	|18.700000         	18.766667         	17.633333         	17.666667         	17.733333           	|623.333333        	292.222222        	-412.222222       	-411.111111       	-408.888889         	|
3_0       	188ms             	196ms             	60423ms           	63916ms           	54248ms             	|1.000000          	0.966667          	1.000000          	1.000000          	1.000000            	|0                 	1                 	0                 	0                 	0                   	|0.000000          	0.033333          	0.000000          	0.000000          	0.000000            	|18.566667         	18.533333         	18.200000         	18.033333         	17.966667           	|-381.111111       	-48.888889        	-393.333333       	-398.888889       	-401.111111         	|
3_1       	199ms             	193ms             	63459ms           	72620ms           	54702ms             	|0.966667          	1.000000          	1.000000          	1.000000          	1.000000            	|2                 	0                 	0                 	0                 	0                   	|0.066667          	0.000000          	0.000000          	0.000000          	0.000000            	|18.800000         	18.600000         	18.133333         	18.133333         	18.133333           	|-40.000000        	-380.000000       	-395.555556       	-395.555556       	-395.555556         	|
3_2       	189ms             	185ms             	61719ms           	63612ms           	55781ms             	|1.000000          	1.000000          	1.000000          	1.000000          	1.000000            	|0                 	0                 	0                 	0                 	0                   	|0.000000          	0.000000          	0.000000          	0.000000          	0.000000            	|17.400000         	17.633333         	16.566667         	16.500000         	16.566667           	|-420.000000       	-412.222222       	-447.777778       	-450.000000       	-447.777778         	|
3_3       	284ms             	210ms             	63289ms           	61094ms           	64770ms             	|0.966667          	0.966667          	0.966667          	0.966667          	0.966667            	|1                 	1                 	1                 	1                 	1                   	|0.033333          	0.033333          	0.033333          	0.033333          	0.033333            	|17.533333         	17.400000         	17.000000         	17.233333         	17.066667           	|-82.222222        	-86.666667        	-100.000000       	-92.222222        	-97.777778          	|
3_4       	172ms             	200ms             	69232ms           	65602ms           	55557ms             	|0.966667          	1.000000          	1.000000          	1.000000          	1.000000            	|1                 	0                 	0                 	0                 	0                   	|0.033333          	0.000000          	0.000000          	0.000000          	0.000000            	|18.566667         	18.333333         	17.633333         	17.633333         	17.833333           	|-47.777778        	-388.888889       	-412.222222       	-412.222222       	-405.555556         	|
3_5       	190ms             	182ms             	61131ms           	62981ms           	54646ms             	|1.000000          	1.000000          	1.000000          	1.000000          	1.000000            	|0                 	0                 	0                 	0                 	0                   	|0.000000          	0.000000          	0.000000          	0.000000          	0.000000            	|17.733333         	17.966667         	16.900000         	16.633333         	16.766667           	|-408.888889       	-401.111111       	-436.666667       	-445.555556       	-441.111111         	|
3_6       	175ms             	173ms             	64074ms           	67221ms           	56244ms             	|0.966667          	0.933333          	0.966667          	0.966667          	0.966667            	|1                 	2                 	1                 	1                 	1                   	|0.033333          	0.100000          	0.033333          	0.033333          	0.033333            	|21.733333         	21.533333         	20.000000         	20.066667         	19.900000           	|57.777778         	384.444444        	-0.000000         	2.222222          	-3.333333           	|
3_7       	237ms             	199ms             	61044ms           	65185ms           	59097ms             	|0.933333          	0.866667          	1.000000          	1.000000          	1.000000            	|1                 	2                 	0                 	0                 	0                   	|0.066667          	0.233333          	0.000000          	0.000000          	0.000000            	|18.166667         	19.233333         	17.933333         	18.000000         	18.066667           	|272.222222        	974.444444        	-402.222222       	-400.000000       	-397.777778         	|
