************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    30
engine_to_start      40
steps                702
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0   	R1   	R2   	R3   	R4   	R5   	R6   	R7   	R8   	R9   	R10  	R11  	R12  	R13  	R14  	R15  	R16  	R17  	R18  	R19  	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
algorithm compare
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
datafile  	time_cost                                                                                           	|ontime_proportion                                                                                   	|max_delay                                                                                           	|avg_delay                                                                                           	|avg_flowtime                                                                                        	|object_function_value                                                                               	|
          	RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|
0_10      	2507ms            	8577ms            	1215162ms         	1266555ms         	1017307ms           	|0.757143          	0.785714          	0.857143          	0.842857          	0.885714            	|17                	17                	9                 	12                	14                  	|2.271429          	1.300000          	0.842857          	1.271429          	0.871429            	|25.085714         	25.871429         	23.542857         	24.085714         	20.814286           	|2264.761905       	2005.238095       	1213.333333       	1374.285714       	836.666667          	|
0_11      	2522ms            	11446ms           	1191605ms         	1197040ms         	1019001ms           	|0.757143          	0.785714          	0.857143          	0.842857          	0.871429            	|13                	15                	14                	14                	14                  	|1.957143          	1.557143          	1.085714          	1.114286          	0.871429            	|24.057143         	23.757143         	22.714286         	23.028571         	21.857143           	|2230.476190       	1934.761905       	1185.714286       	1339.047619       	1014.285714         	|
0_12      	2220ms            	6196ms            	1027313ms         	1088906ms         	912833ms            	|0.757143          	0.685714          	0.842857          	0.842857          	0.871429            	|26                	28                	27                	25                	23                  	|3.414286          	3.300000          	2.500000          	2.457143          	1.900000            	|25.428571         	28.014286         	24.900000         	23.857143         	23.628571           	|2276.190476       	3076.666667       	1401.428571       	1366.666667       	1073.333333         	|
0_13      	2255ms            	10103ms           	1092329ms         	1164763ms         	884865ms            	|0.685714          	0.742857          	0.828571          	0.814286          	0.857143            	|18                	16                	17                	17                	16                  	|3.100000          	1.785714          	1.614286          	1.871429          	1.300000            	|27.457143         	27.628571         	24.428571         	24.457143         	26.442857           	|3058.095238       	2492.380952       	1528.571429       	1672.380952       	1310.000000         	|
0_14      	1955ms            	5087ms            	1019963ms         	1015887ms         	758012ms            	|0.542857          	0.585714          	0.700000          	0.700000          	0.785714            	|24                	23                	22                	22                	23                  	|5.700000          	3.928571          	3.342857          	3.214286          	2.828571            	|30.471429         	30.771429         	28.500000         	27.714286         	26.142857           	|4587.142857       	4168.571429       	2950.000000       	2923.809524       	2014.285714         	|
0_15      	2175ms            	4067ms            	1039645ms         	1076898ms         	798204ms            	|0.728571          	0.814286          	0.871429          	0.842857          	0.914286            	|18                	16                	17                	17                	20                  	|2.900000          	1.314286          	1.142857          	1.500000          	1.042857            	|26.157143         	28.000000         	26.328571         	24.071429         	24.228571           	|2586.190476       	1790.476190       	1163.333333       	1373.809524       	664.761905          	|
0_16      	2643ms            	9524ms            	958092ms          	1012560ms         	831202ms            	|0.700000          	0.714286          	0.800000          	0.814286          	0.842857            	|20                	21                	20                	21                	18                  	|3.200000          	2.771429          	2.171429          	2.214286          	1.742857            	|27.371429         	28.800000         	24.785714         	25.685714         	24.271429           	|2912.380952       	2817.142857       	1826.190476       	1713.333333       	1380.476190         	|
0_17      	2303ms            	4653ms            	1068920ms         	1201972ms         	915759ms            	|0.671429          	0.757143          	0.828571          	0.800000          	0.857143            	|22                	19                	20                	21                	18                  	|4.042857          	1.757143          	1.657143          	1.814286          	1.557143            	|28.485714         	29.114286         	25.114286         	25.342857         	24.557143           	|3235.238095       	2399.047619       	1551.428571       	1844.761905       	1247.142857         	|
0_18      	2213ms            	9461ms            	1014986ms         	1100916ms         	806988ms            	|0.571429          	0.571429          	0.700000          	0.685714          	0.757143            	|26                	24                	24                	25                	23                  	|4.971429          	3.771429          	3.485714          	3.728571          	2.771429            	|29.614286         	31.642857         	27.314286         	26.642857         	23.514286           	|4272.857143       	4340.476190       	2910.476190       	3030.952381       	2212.380952         	|
0_19      	2283ms            	10209ms           	973828ms          	1057205ms         	813763ms            	|0.685714          	0.742857          	0.800000          	0.800000          	0.857143            	|22                	22                	18                	21                	14                  	|3.600000          	2.057143          	1.771429          	1.928571          	1.400000            	|27.742857         	28.071429         	25.814286         	25.757143         	24.457143           	|3067.619048       	2507.142857       	1860.476190       	1858.571429       	1243.809524         	|
1_0       	2975ms            	10478ms           	948787ms          	1016306ms         	844742ms            	|0.685714          	0.728571          	0.828571          	0.800000          	0.828571            	|17                	14                	15                	12                	13                  	|2.657143          	2.157143          	1.214286          	1.428571          	1.042857            	|26.871429         	28.628571         	25.371429         	24.371429         	24.400000           	|3038.571429       	2668.571429       	1560.000000       	1812.380952       	1527.619048         	|
1_1       	3299ms            	8528ms            	1018103ms         	828392ms          	789329ms            	|0.614286          	0.642857          	0.742857          	0.757143          	0.800000            	|21                	19                	19                	16                	18                  	|4.114286          	3.285714          	2.214286          	2.685714          	2.271429            	|28.771429         	30.128571         	27.742857         	26.528571         	26.714286           	|3816.190476       	3575.714286       	2496.190476       	2312.857143       	1890.476190         	|
1_2       	2421ms            	6802ms            	1067315ms         	965059ms          	883720ms            	|0.642857          	0.571429          	0.742857          	0.728571          	0.800000            	|21                	21                	19                	17                	20                  	|4.185714          	3.871429          	2.442857          	2.585714          	2.628571            	|29.942857         	32.171429         	27.742857         	28.614286         	24.528571           	|3569.523810       	4358.095238       	2496.190476       	2668.095238       	1817.619048         	|
1_3       	2160ms            	10166ms           	894547ms          	837630ms          	771571ms            	|0.628571          	0.642857          	0.771429          	0.757143          	0.871429            	|23                	18                	18                	19                	24                  	|4.700000          	2.671429          	2.571429          	2.657143          	2.000000            	|30.914286         	31.671429         	29.000000         	27.657143         	25.157143           	|3744.761905       	3627.142857       	2252.380952       	2350.476190       	1124.285714         	|
1_4       	3978ms            	9331ms            	931018ms          	866176ms          	799405ms            	|0.671429          	0.614286          	0.757143          	0.757143          	0.800000            	|22                	24                	20                	21                	24                  	|3.285714          	3.842857          	2.214286          	2.742857          	2.000000            	|28.600000         	30.885714         	27.071429         	27.800000         	27.785714           	|3239.047619       	3886.666667       	2330.952381       	2355.238095       	1926.190476         	|
1_5       	2179ms            	8675ms            	994017ms          	924690ms          	828033ms            	|0.614286          	0.657143          	0.771429          	0.742857          	0.757143            	|17                	17                	16                	17                	18                  	|3.542857          	3.028571          	2.042857          	2.614286          	2.071429            	|26.842857         	29.285714         	27.071429         	25.785714         	25.471429           	|3751.904762       	3404.761905       	2188.095238       	2430.952381       	2277.619048         	|
1_6       	2473ms            	8322ms            	1056225ms         	991328ms          	952015ms            	|0.685714          	0.657143          	0.757143          	0.771429          	0.828571            	|21                	22                	20                	22                	21                  	|3.542857          	3.442857          	2.328571          	3.157143          	2.128571            	|29.185714         	30.200000         	26.757143         	26.885714         	24.300000           	|3115.714286       	3435.238095       	2320.476190       	2181.904762       	1524.285714         	|
1_7       	2038ms            	7379ms            	930894ms          	875618ms          	678581ms            	|0.642857          	0.500000          	0.700000          	0.728571          	0.742857            	|23                	22                	21                	21                	20                  	|4.942857          	4.842857          	3.628571          	3.228571          	3.285714            	|29.900000         	31.942857         	28.928571         	27.571429         	27.785714           	|3568.095238       	5064.761905       	2964.285714       	2633.333333       	2497.619048         	|
1_8       	4305ms            	5510ms            	1126368ms         	968196ms          	887674ms            	|0.728571          	0.742857          	0.857143          	0.857143          	0.900000            	|24                	26                	21                	25                	21                  	|2.942857          	2.100000          	1.557143          	1.957143          	1.028571            	|26.771429         	27.585714         	25.214286         	24.457143         	24.385714           	|2606.666667       	2490.952381       	1269.047619       	1243.809524       	812.857143          	|
1_9       	3437ms            	9389ms            	1148412ms         	932138ms          	877194ms            	|0.742857          	0.742857          	0.828571          	0.828571          	0.871429            	|18                	21                	19                	18                	18                  	|2.342857          	2.142857          	1.542857          	1.642857          	1.271429            	|24.757143         	26.828571         	24.342857         	24.214286         	24.071429           	|2396.666667       	2465.714286       	1525.714286       	1521.428571       	1088.095238         	|
1_10      	2619ms            	5086ms            	1145300ms         	1092492ms         	897798ms            	|0.728571          	0.757143          	0.885714          	0.842857          	0.885714            	|21                	20                	18                	15                	17                  	|2.871429          	2.285714          	0.914286          	1.471429          	1.314286            	|26.228571         	27.885714         	24.871429         	24.742857         	22.857143           	|2588.571429       	2358.095238       	971.904762        	1396.190476       	904.761905          	|
1_11      	2072ms            	8556ms            	855983ms          	799006ms          	631910ms            	|0.685714          	0.628571          	0.771429          	0.757143          	0.785714            	|27                	22                	26                	25                	22                  	|4.171429          	3.100000          	2.628571          	2.785714          	2.528571            	|30.971429         	33.157143         	29.500000         	30.185714         	28.171429           	|3175.238095       	3819.523810       	2269.047619       	2434.761905       	2081.904762         	|
1_12      	2429ms            	7861ms            	1034013ms         	988710ms          	814202ms            	|0.685714          	0.685714          	0.785714          	0.800000          	0.814286            	|19                	16                	19                	18                	17                  	|3.285714          	2.557143          	2.185714          	1.842857          	1.528571            	|27.571429         	29.128571         	26.400000         	25.142857         	26.700000           	|3061.904762       	3113.809524       	2022.857143       	1838.095238       	1747.142857         	|
1_13      	2061ms            	4696ms            	925561ms          	1008431ms         	677021ms            	|0.671429          	0.628571          	0.728571          	0.742857          	0.771429            	|26                	30                	27                	29                	24                  	|4.514286          	3.957143          	3.014286          	4.185714          	2.871429            	|32.114286         	34.028571         	30.657143         	30.885714         	30.471429           	|3356.190476       	3848.571429       	2736.190476       	2600.952381       	2301.428571         	|
1_14      	2826ms            	5817ms            	1026428ms         	1125390ms         	766729ms            	|0.700000          	0.714286          	0.785714          	0.785714          	0.828571            	|24                	22                	21                	23                	17                  	|3.100000          	2.871429          	2.314286          	2.300000          	1.614286            	|27.257143         	28.700000         	27.114286         	26.300000         	26.414286           	|2908.571429       	2813.809524       	2046.666667       	2019.523810       	1594.761905         	|
1_15      	2983ms            	4517ms            	1037040ms         	1120845ms         	744909ms            	|0.600000          	0.600000          	0.742857          	0.728571          	0.800000            	|21                	19                	20                	17                	17                  	|4.442857          	3.257143          	2.571429          	2.742857          	1.900000            	|29.028571         	30.171429         	27.357143         	25.942857         	25.614286           	|3967.619048       	4005.714286       	2483.333333       	2579.047619       	1853.809524         	|
1_16      	2208ms            	3660ms            	965938ms          	1067037ms         	749903ms            	|0.642857          	0.628571          	0.814286          	0.785714          	0.828571            	|22                	18                	17                	18                	18                  	|4.042857          	2.828571          	1.457143          	2.457143          	1.600000            	|30.757143         	31.185714         	27.271429         	27.642857         	26.400000           	|3596.666667       	3753.809524       	1766.190476       	2064.285714       	1594.285714         	|
1_17      	5210ms            	7447ms            	1071474ms         	1054499ms         	930701ms            	|0.742857          	0.714286          	0.842857          	0.814286          	0.857143            	|24                	27                	24                	22                	26                  	|2.971429          	2.314286          	1.471429          	2.085714          	1.828571            	|25.685714         	27.357143         	25.742857         	25.671429         	26.028571           	|2427.619048       	2769.047619       	1429.523810       	1712.857143       	1296.190476         	|
1_18      	2075ms            	8007ms            	959195ms          	1017836ms         	702127ms            	|0.800000          	0.671429          	0.814286          	0.800000          	0.871429            	|24                	26                	23                	22                	24                  	|3.514286          	2.628571          	1.771429          	2.642857          	1.442857            	|29.985714         	32.342857         	28.771429         	29.385714         	28.542857           	|1999.523810       	3363.809524       	1816.190476       	1979.523810       	1237.142857         	|
1_19      	2624ms            	5384ms            	1232192ms         	1320391ms         	859156ms            	|0.671429          	0.671429          	0.785714          	0.785714          	0.828571            	|21                	20                	17                	19                	17                  	|3.957143          	3.271429          	1.828571          	2.385714          	1.757143            	|30.171429         	29.857143         	28.014286         	26.957143         	26.971429           	|3291.428571       	3280.952381       	2076.666667       	2041.428571       	1613.333333         	|
2_0       	5231ms            	5642ms            	998677ms          	1059387ms         	760015ms            	|0.657143          	0.700000          	0.814286          	0.785714          	0.842857            	|19                	16                	17                	17                	16                  	|3.157143          	2.057143          	1.628571          	1.885714          	1.314286            	|27.514286         	28.357143         	25.514286         	27.371429         	23.671429           	|3345.714286       	2945.238095       	1707.619048       	2055.238095       	1360.476190         	|
2_1       	2613ms            	3437ms            	1193327ms         	1232769ms         	986595ms            	|0.757143          	0.885714          	0.928571          	0.885714          	0.928571            	|15                	14                	12                	15                	13                  	|2.414286          	0.657143          	0.442857          	0.842857          	0.528571            	|25.700000         	25.100000         	23.585714         	24.014286         	21.828571           	|2285.238095       	979.523810        	500.476190        	943.333333        	441.904762          	|
2_2       	2774ms            	5353ms            	1141000ms         	1188047ms         	936016ms            	|0.714286          	0.728571          	0.857143          	0.842857          	0.857143            	|17                	14                	15                	15                	13                  	|2.500000          	1.828571          	1.257143          	1.200000          	1.071429            	|23.971429         	24.785714         	21.600000         	22.128571         	21.871429           	|2656.190476       	2540.476190       	1148.571429       	1309.047619       	1157.619048         	|
2_3       	4203ms            	4371ms            	981604ms          	1116685ms         	823898ms            	|0.657143          	0.657143          	0.771429          	0.757143          	0.814286            	|21                	20                	21                	20                	21                  	|3.328571          	3.071429          	2.500000          	2.557143          	1.957143            	|27.242857         	26.814286         	24.457143         	25.485714         	24.100000           	|3336.666667       	3322.380952       	2100.952381       	2278.095238       	1660.476190         	|
2_4       	2993ms            	4401ms            	949390ms          	928505ms          	891728ms            	|0.742857          	0.685714          	0.828571          	0.828571          	0.871429            	|23                	24                	22                	23                	23                  	|3.114286          	2.857143          	1.814286          	2.014286          	1.471429            	|23.500000         	26.228571         	23.171429         	24.085714         	22.485714           	|2354.761905       	3017.142857       	1486.666667       	1517.142857       	1035.238095         	|
2_5       	2400ms            	4128ms            	1020360ms         	1087294ms         	811772ms            	|0.700000          	0.700000          	0.800000          	0.785714          	0.828571            	|22                	17                	22                	19                	17                  	|2.857143          	2.242857          	2.228571          	2.085714          	1.614286            	|27.771429         	28.957143         	26.614286         	25.157143         	25.800000           	|2925.714286       	2965.238095       	1887.142857       	1981.428571       	1574.285714         	|
2_6       	2333ms            	3883ms            	1065066ms         	1111149ms         	895899ms            	|0.671429          	0.685714          	0.828571          	0.814286          	0.828571            	|19                	19                	19                	20                	15                  	|2.900000          	2.485714          	1.700000          	1.785714          	1.457143            	|24.028571         	26.100000         	24.585714         	23.585714         	21.685714           	|3086.666667       	3012.857143       	1533.809524       	1643.333333       	1437.142857         	|
2_7       	3893ms            	3077ms            	1070242ms         	1156267ms         	832160ms            	|0.671429          	0.714286          	0.842857          	0.771429          	0.914286            	|19                	17                	16                	19                	19                  	|2.985714          	1.714286          	1.042857          	2.414286          	0.857143            	|27.085714         	28.571429         	25.928571         	26.285714         	22.500000           	|3188.571429       	2809.523810       	1435.714286       	2161.904762       	607.142857          	|
2_8       	2188ms            	4538ms            	985091ms          	1057276ms         	796026ms            	|0.642857          	0.728571          	0.814286          	0.771429          	0.842857            	|20                	20                	18                	19                	19                  	|3.314286          	2.500000          	1.342857          	2.242857          	1.442857            	|27.900000         	28.157143         	25.671429         	25.714286         	25.000000           	|3501.428571       	2652.857143       	1712.857143       	2142.857143       	1404.761905         	|
2_9       	2328ms            	5866ms            	1066476ms         	1092411ms         	889969ms            	|0.700000          	0.700000          	0.771429          	0.742857          	0.785714            	|19                	17                	18                	18                	16                  	|3.300000          	1.942857          	2.071429          	2.914286          	1.728571            	|27.100000         	28.142857         	26.714286         	25.600000         	24.500000           	|2903.333333       	2938.095238       	2176.190476       	2424.761905       	1959.523810         	|
2_10      	2412ms            	4515ms            	1125201ms         	1164013ms         	883878ms            	|0.742857          	0.728571          	0.857143          	0.842857          	0.885714            	|22                	21                	21                	15                	20                  	|2.714286          	2.071429          	1.642857          	1.685714          	1.271429            	|27.228571         	27.000000         	25.242857         	23.542857         	24.514286           	|2479.047619       	2614.285714       	1270.000000       	1356.190476       	960.000000          	|
2_11      	2765ms            	6692ms            	1116579ms         	1176985ms         	985093ms            	|0.700000          	0.728571          	0.842857          	0.800000          	0.842857            	|14                	15                	11                	15                	13                  	|2.600000          	1.728571          	1.228571          	1.557143          	1.285714            	|24.242857         	25.300000         	23.800000         	22.085714         	22.485714           	|2808.095238       	2557.619048       	1364.761905       	1736.190476       	1320.952381         	|
2_12      	2527ms            	4102ms            	1082749ms         	1001659ms         	889575ms            	|0.742857          	0.757143          	0.828571          	0.828571          	0.900000            	|21                	20                	25                	24                	24                  	|3.242857          	1.928571          	1.957143          	2.271429          	1.300000            	|25.300000         	26.285714         	24.400000         	23.385714         	21.542857           	|2414.761905       	2304.761905       	1527.619048       	1493.809524       	718.095238          	|
2_13      	2055ms            	6843ms            	938149ms          	988941ms          	745054ms            	|0.585714          	0.685714          	0.757143          	0.771429          	0.771429            	|24                	25                	23                	25                	23                  	|3.971429          	3.042857          	2.357143          	3.100000          	2.371429            	|29.200000         	29.685714         	27.471429         	27.028571         	26.728571           	|4116.190476       	3132.380952       	2344.285714       	2186.666667       	2176.666667         	|
2_14      	4542ms            	8303ms            	1020665ms         	1070375ms         	914319ms            	|0.728571          	0.742857          	0.842857          	0.842857          	0.857143            	|19                	15                	20                	16                	18                  	|2.657143          	1.857143          	1.728571          	1.642857          	0.985714            	|27.014286         	27.842857         	25.000000         	23.657143         	24.371429           	|2614.761905       	2499.523810       	1404.761905       	1360.000000       	1240.952381         	|
2_15      	2568ms            	4082ms            	986510ms          	1064484ms         	833039ms            	|0.671429          	0.728571          	0.814286          	0.814286          	0.842857            	|20                	22                	18                	20                	21                  	|2.928571          	1.942857          	1.428571          	2.057143          	1.385714            	|28.071429         	29.671429         	26.971429         	27.214286         	26.714286           	|3221.428571       	2703.333333       	1756.190476       	1764.285714       	1461.904762         	|
2_16      	2179ms            	5574ms            	964207ms          	1008957ms         	808331ms            	|0.657143          	0.671429          	0.742857          	0.771429          	0.785714            	|20                	20                	19                	20                	17                  	|3.657143          	2.628571          	2.371429          	2.471429          	1.814286            	|28.071429         	30.200000         	28.100000         	28.028571         	24.957143           	|3364.285714       	3292.380952       	2508.095238       	2220.000000       	1974.761905         	|
2_17      	2309ms            	8011ms            	1025905ms         	1057948ms         	884357ms            	|0.685714          	0.685714          	0.800000          	0.800000          	0.828571            	|23                	24                	23                	24                	23                  	|2.871429          	2.814286          	2.300000          	2.485714          	1.785714            	|26.242857         	29.085714         	26.014286         	26.400000         	24.528571           	|3017.619048       	3112.380952       	1867.142857       	1880.000000       	1531.904762         	|
2_18      	3182ms            	8729ms            	874101ms          	1124862ms         	822981ms            	|0.700000          	0.671429          	0.814286          	0.785714          	0.842857            	|20                	17                	20                	25                	17                  	|2.814286          	2.442857          	1.471429          	1.942857          	1.171429            	|25.771429         	28.171429         	25.614286         	24.985714         	23.800000           	|2859.047619       	3224.761905       	1710.952381       	1975.714286       	1364.761905         	|
2_19      	3804ms            	6404ms            	734975ms          	1068001ms         	843918ms            	|0.714286          	0.714286          	0.800000          	0.785714          	0.828571            	|19                	17                	19                	18                	15                  	|2.771429          	2.014286          	1.928571          	2.114286          	1.542857            	|24.571429         	26.128571         	24.357143         	23.571429         	22.885714           	|2676.190476       	2728.095238       	1811.904762       	1928.571429       	1477.142857         	|
3_0       	2196ms            	4999ms            	833548ms          	1066109ms         	776750ms            	|0.714286          	0.728571          	0.842857          	0.828571          	0.857143            	|13                	15                	11                	14                	14                  	|2.071429          	1.471429          	1.014286          	1.557143          	0.785714            	|26.571429         	27.228571         	25.514286         	24.814286         	23.371429           	|2742.857143       	2621.904762       	1421.904762       	1541.428571       	1207.619048         	|
3_1       	2154ms            	5911ms            	826162ms          	1029380ms         	841419ms            	|0.771429          	0.814286          	0.900000          	0.871429          	0.957143            	|14                	10                	14                	14                	9                   	|1.428571          	1.000000          	0.685714          	1.042857          	0.328571            	|25.957143         	26.800000         	24.371429         	25.000000         	25.242857           	|2150.952381       	1750.476190       	812.380952        	1119.047619       	270.000000          	|
3_2       	3182ms            	2607ms            	1432372ms         	1213903ms         	948275ms            	|0.842857          	0.914286          	0.957143          	0.942857          	0.971429            	|10                	7                 	8                 	8                 	4                   	|0.714286          	0.300000          	0.185714          	0.328571          	0.085714            	|21.857143         	22.685714         	22.385714         	21.157143         	21.757143           	|1300.000000       	613.333333        	174.761905        	276.666667        	10.952381           	|
3_3       	4604ms            	2501ms            	1378200ms         	1175565ms         	880956ms            	|0.785714          	0.842857          	0.900000          	0.885714          	0.914286            	|13                	11                	12                	12                	14                  	|1.785714          	1.114286          	0.742857          	0.800000          	0.757143            	|24.942857         	24.671429         	23.471429         	22.371429         	21.685714           	|1974.285714       	1393.809524       	782.380952        	888.571429        	580.000000          	|
3_4       	2650ms            	2879ms            	1422319ms         	1117861ms         	1016931ms           	|0.785714          	0.842857          	0.914286          	0.900000          	0.900000            	|12                	11                	13                	8                 	10                  	|1.342857          	0.828571          	0.585714          	0.500000          	0.642857            	|22.742857         	22.471429         	22.185714         	21.628571         	20.771429           	|1900.952381       	1320.476190       	596.666667        	720.952381        	692.380952          	|
3_5       	2273ms            	2353ms            	1213678ms         	956874ms          	819727ms            	|0.757143          	0.742857          	0.814286          	0.814286          	0.857143            	|20                	20                	19                	20                	18                  	|2.957143          	2.514286          	1.800000          	2.114286          	1.528571            	|25.528571         	27.400000         	25.185714         	25.542857         	24.014286           	|2279.523810       	2484.761905       	1696.666667       	1708.571429       	1229.047619         	|
3_6       	2229ms            	2277ms            	1337135ms         	1435538ms         	781256ms            	|0.785714          	0.828571          	0.914286          	0.885714          	0.914286            	|11                	11                	11                	11                	11                  	|1.457143          	0.857143          	0.457143          	0.885714          	0.600000            	|25.142857         	25.042857         	23.842857         	23.857143         	24.085714           	|1980.952381       	1549.047619       	651.904762        	938.095238        	660.000000          	|
3_7       	2217ms            	2336ms            	1370727ms         	1533411ms         	842820ms            	|0.757143          	0.800000          	0.914286          	0.885714          	0.914286            	|12                	12                	11                	12                	11                  	|1.600000          	1.242857          	0.514286          	1.000000          	0.557143            	|23.714286         	24.100000         	23.600000         	22.471429         	22.900000           	|2219.047619       	1803.333333       	643.809524        	891.904762        	620.476190          	|
