************************************************************************************************************************************************************************************************************************************************************************************************************
basic info
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
engine_in_process    40
engine_to_start      50
steps                902
resources            20
************************************************************************************************************************************************************************************************************************************************************************************************************
resource availability
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
R0   	R1   	R2   	R3   	R4   	R5   	R6   	R7   	R8   	R9   	R10  	R11  	R12  	R13  	R14  	R15  	R16  	R17  	R18  	R19  	
6    	3    	3    	2    	2    	6    	3    	3    	2    	2    	1    	1    	1    	1    	1    	1    	1    	1    	1    	1    	
************************************************************************************************************************************************************************************************************************************************************************************************************
algorithm compare
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
datafile  	time_cost                                                                                           	|ontime_proportion                                                                                   	|max_delay                                                                                           	|avg_delay                                                                                           	|avg_flowtime                                                                                        	|object_function_value                                                                               	|
          	RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|RAND              	LFT               	HGA               	HSS               	JPSO                	|
0_16      	8895ms            	6110ms            	2340444ms         	2423278ms         	1940952ms           	|0.600000          	0.555556          	0.677778          	0.677778          	0.711111            	|31                	31                	34                	31                	32                  	|6.822222          	6.300000          	3.855556          	4.722222          	2.966667            	|35.455556         	36.911111         	32.888889         	31.444444         	31.555556           	|4181.851852       	4674.814815       	3318.518519       	3270.370370       	2940.740741         	|
0_17      	7745ms            	5687ms            	2527578ms         	2735639ms         	2042458ms           	|0.533333          	0.466667          	0.622222          	0.644444          	0.700000            	|38                	35                	38                	38                	36                  	|7.788889          	8.033333          	7.288889          	6.411111          	3.555556            	|36.033333         	38.422222         	34.888889         	33.766667         	30.200000           	|4867.777778       	5614.074074       	3940.740741       	3681.111111       	3006.666667         	|
0_18      	6525ms            	6380ms            	2940022ms         	3105435ms         	2444188ms           	|0.688889          	0.655556          	0.755556          	0.800000          	0.855556            	|28                	28                	26                	27                	26                  	|4.277778          	4.422222          	3.377778          	3.222222          	1.944444            	|31.633333         	33.788889         	30.044444         	27.400000         	27.100000           	|3165.555556       	3570.740741       	2445.925926       	1913.333333       	1347.777778         	|
0_19      	6079ms            	5483ms            	2517234ms         	2684609ms         	2012013ms           	|0.555556          	0.477778          	0.666667          	0.666667          	0.700000            	|43                	42                	41                	43                	42                  	|6.588889          	7.100000          	6.266667          	6.611111          	6.477778            	|35.377778         	38.555556         	35.788889         	35.388889         	33.433333           	|4623.703704       	5507.407407       	3526.296296       	3512.962963       	3114.444444         	|
1_0       	7215ms            	6573ms            	2771137ms         	2597655ms         	2310668ms           	|0.700000          	0.677778          	0.777778          	0.788889          	0.811111            	|22                	20                	20                	22                	19                  	|3.555556          	2.133333          	2.066667          	2.811111          	1.722222            	|26.977778         	27.044444         	25.422222         	23.855556         	24.444444           	|2899.259259       	3123.703704       	2069.629630       	1906.296296       	1703.703704         	|
1_1       	8436ms            	5714ms            	2638617ms         	2697052ms         	2067420ms           	|0.700000          	0.688889          	0.755556          	0.766667          	0.833333            	|27                	25                	22                	27                	26                  	|3.622222          	3.300000          	2.377778          	2.900000          	1.688889            	|26.100000         	28.577778         	27.022222         	25.211111         	24.555556           	|2870.000000       	3063.703704       	2345.185185       	2173.703704       	1485.185185         	|
1_2       	8451ms            	6084ms            	2722366ms         	2714100ms         	2143555ms           	|0.588889          	0.622222          	0.700000          	0.733333          	0.777778            	|28                	35                	34                	35                	35                  	|3.744444          	4.088889          	3.855556          	4.500000          	4.033333            	|28.300000         	31.522222         	29.911111         	26.977778         	27.144444           	|4054.444444       	3828.518519       	2997.037037       	2565.925926       	2127.037037         	|
1_3       	5268ms            	5667ms            	2648366ms         	2748590ms         	1934896ms           	|0.700000          	0.677778          	0.755556          	0.766667          	0.833333            	|29                	30                	30                	28                	29                  	|4.322222          	3.666667          	3.077778          	3.200000          	2.077778            	|30.644444         	32.411111         	31.211111         	28.244444         	26.955556           	|3021.481481       	3302.592593       	2484.814815       	2274.814815       	1565.185185         	|
1_4       	8691ms            	6400ms            	2620900ms         	2764272ms         	2111320ms           	|0.644444          	0.655556          	0.722222          	0.777778          	0.788889            	|25                	19                	24                	22                	16                  	|4.311111          	2.977778          	2.800000          	2.744444          	2.011111            	|29.111111         	31.366667         	29.566667         	25.211111         	26.855556           	|3525.925926       	3490.000000       	2763.333333       	2062.592593       	2006.296296         	|
1_5       	10060ms           	5982ms            	2657855ms         	2798046ms         	2165570ms           	|0.611111          	0.644444          	0.722222          	0.733333          	0.833333            	|23                	23                	23                	25                	23                  	|5.088889          	3.511111          	3.411111          	3.488889          	2.166667            	|30.833333         	30.988889         	29.266667         	26.577778         	26.866667           	|3916.666667       	3588.518519       	2753.333333       	2552.592593       	1562.222222         	|
1_6       	6241ms            	5596ms            	2418114ms         	2355266ms         	2028843ms           	|0.677778          	0.677778          	0.755556          	0.777778          	0.777778            	|30                	22                	29                	29                	30                  	|5.188889          	2.822222          	3.755556          	3.300000          	3.566667            	|29.044444         	29.911111         	28.577778         	27.244444         	27.911111           	|3190.370370       	3219.259259       	2397.037037       	2130.370370       	2152.592593         	|
1_7       	9604ms            	6805ms            	2458618ms         	2321170ms         	2275054ms           	|0.711111          	0.722222          	0.811111          	0.800000          	0.822222            	|28                	29                	27                	26                	20                  	|3.744444          	2.677778          	2.255556          	3.077778          	1.977778            	|27.522222         	30.300000         	28.422222         	25.800000         	25.922222           	|2806.296296       	2787.777778       	1836.296296       	1860.000000       	1641.851852         	|
1_8       	10351ms           	6375ms            	2266836ms         	2245044ms         	2125738ms           	|0.655556          	0.688889          	0.744444          	0.755556          	0.811111            	|25                	27                	28                	26                	26                  	|3.966667          	2.744444          	2.977778          	3.533333          	2.022222            	|29.088889         	30.166667         	28.444444         	26.522222         	26.855556           	|3414.074074       	3116.666667       	2503.703704       	2328.518519       	1784.074074         	|
1_9       	9337ms            	6512ms            	2169777ms         	2947100ms         	2317294ms           	|0.700000          	0.700000          	0.788889          	0.777778          	0.877778            	|23                	26                	23                	24                	24                  	|4.088889          	2.511111          	2.055556          	3.233333          	1.288889            	|30.144444         	32.266667         	30.322222         	27.566667         	26.688889           	|3004.814815       	3075.555556       	2121.851852       	2141.111111       	1111.851852         	|
1_10      	7341ms            	6508ms            	2522784ms         	2640975ms         	2198298ms           	|0.611111          	0.522222          	0.655556          	0.688889          	0.711111            	|36                	37                	36                	36                	36                  	|7.533333          	5.944444          	6.066667          	5.866667          	5.655556            	|29.066667         	30.866667         	29.822222         	26.744444         	28.122222           	|3857.777778       	4806.666667       	3438.518519       	3002.592593       	2826.296296         	|
1_11      	8641ms            	6150ms            	2714457ms         	2711332ms         	2213840ms           	|0.633333          	0.655556          	0.744444          	0.744444          	0.822222            	|25                	25                	21                	24                	25                  	|4.744444          	3.844444          	2.777778          	3.633333          	2.155556            	|28.988889         	29.655556         	28.244444         	24.600000         	25.077778           	|3632.962963       	3432.962963       	2497.037037       	2375.555556       	1613.703704         	|
1_12      	9113ms            	6094ms            	3008750ms         	3008316ms         	2368585ms           	|0.755556          	0.722222          	0.822222          	0.811111          	0.855556            	|22                	24                	20                	22                	19                  	|2.488889          	2.188889          	1.888889          	2.700000          	1.000000            	|27.900000         	28.822222         	27.866667         	24.388889         	26.255556           	|2374.444444       	2738.518519       	1706.666667       	1701.851852       	1319.629630         	|
1_13      	10048ms           	6648ms            	2929117ms         	3343582ms         	1894508ms           	|0.577778          	0.655556          	0.722222          	0.733333          	0.877778            	|24                	23                	23                	25                	23                  	|5.155556          	3.211111          	3.011111          	3.977778          	1.755556            	|30.355556         	30.777778         	29.333333         	26.677778         	23.744444           	|4234.074074       	3470.370370       	2755.555556       	2555.925926       	1013.703704         	|
1_14      	8998ms            	6281ms            	2610025ms         	2712533ms         	1830900ms           	|0.622222          	0.544444          	0.711111          	0.700000          	0.744444            	|35                	33                	34                	34                	36                  	|6.222222          	4.688889          	3.855556          	5.177778          	4.200000            	|30.344444         	32.900000         	30.277778         	29.477778         	29.322222           	|3789.259259       	4652.222222       	2898.148148       	2982.592593       	2532.962963         	|
1_15      	10490ms           	6651ms            	2878958ms         	2866973ms         	1727552ms           	|0.711111          	0.666667          	0.800000          	0.766667          	0.844444            	|21                	22                	23                	22                	21                  	|3.177778          	3.411111          	2.122222          	3.166667          	1.544444            	|26.977778         	30.944444         	28.022222         	25.522222         	26.733333           	|2788.148148       	3364.814815       	1934.074074       	2184.074074       	1446.666667         	|
1_16      	10086ms           	5663ms            	2570555ms         	2723410ms         	1753994ms           	|0.633333          	0.644444          	0.711111          	0.733333          	0.800000            	|28                	29                	28                	28                	26                  	|5.255556          	3.888889          	3.755556          	4.333333          	2.100000            	|30.755556         	32.400000         	29.933333         	27.411111         	26.855556           	|3691.851852       	3635.555556       	2886.666667       	2580.370370       	1895.185185         	|
1_17      	11096ms           	6392ms            	2842057ms         	2975009ms         	2372810ms           	|0.722222          	0.722222          	0.811111          	0.800000          	0.911111            	|23                	25                	24                	23                	25                  	|2.711111          	2.177778          	2.044444          	2.688889          	1.366667            	|27.688889         	29.433333         	28.844444         	25.422222         	22.722222           	|2700.740741       	2758.888889       	1850.370370       	1847.407407       	646.296296          	|
1_18      	8969ms            	5686ms            	2790298ms         	2919754ms         	2190549ms           	|0.600000          	0.577778          	0.711111          	0.711111          	0.733333            	|36                	37                	35                	36                	35                  	|6.166667          	4.422222          	4.700000          	5.000000          	4.022222            	|31.344444         	32.566667         	31.044444         	29.522222         	27.366667           	|4044.814815       	4307.777778       	2923.703704       	2872.962963       	2578.888889         	|
1_19      	10394ms           	6189ms            	2716611ms         	2872018ms         	2243931ms           	|0.700000          	0.677778          	0.777778          	0.766667          	0.822222            	|23                	24                	23                	23                	23                  	|3.322222          	2.955556          	2.188889          	3.233333          	1.355556            	|26.500000         	28.400000         	27.377778         	26.066667         	25.933333           	|2883.333333       	3168.888889       	2134.814815       	2202.222222       	1642.222222         	|
2_0       	10526ms           	7706ms            	3230061ms         	2839354ms         	2558498ms           	|0.744444          	0.700000          	0.811111          	0.833333          	0.844444            	|30                	27                	30                	29                	31                  	|3.522222          	3.577778          	2.522222          	2.677778          	1.966667            	|28.044444         	31.166667         	28.133333         	27.088889         	27.011111           	|2490.370370       	3038.888889       	1826.666667       	1569.629630       	1455.925926         	|
2_1       	9867ms            	7161ms            	3048800ms         	3264885ms         	2539275ms           	|0.611111          	0.611111          	0.722222          	0.722222          	0.766667            	|34                	27                	33                	33                	35                  	|5.733333          	4.344444          	4.155556          	4.677778          	3.900000            	|30.311111         	31.655556         	29.688889         	28.733333         	29.155556           	|3899.259259       	3944.074074       	2767.407407       	2735.555556       	2305.185185         	|
2_2       	8699ms            	6254ms            	2616815ms         	2739129ms         	2069538ms           	|0.677778          	0.588889          	0.744444          	0.744444          	0.755556            	|29                	27                	28                	27                	25                  	|4.900000          	4.200000          	3.744444          	3.833333          	3.844444            	|29.577778         	31.800000         	29.044444         	27.122222         	27.077778           	|3208.148148       	4171.111111       	2523.703704       	2459.629630       	2347.037037         	|
2_3       	8311ms            	6483ms            	2514297ms         	2561313ms         	2185521ms           	|0.666667          	0.611111          	0.733333          	0.733333          	0.755556            	|35                	31                	37                	34                	37                  	|4.300000          	4.255556          	3.511111          	3.633333          	4.200000            	|30.500000         	33.077778         	29.844444         	29.488889         	29.477778           	|3350.000000       	3991.481481       	2661.481481       	2649.629630       	2427.037037         	|
2_4       	10066ms           	6706ms            	2893218ms         	2889198ms         	2436288ms           	|0.633333          	0.588889          	0.733333          	0.755556          	0.788889            	|25                	26                	24                	24                	25                  	|5.100000          	4.877778          	3.133333          	3.533333          	3.455556            	|29.611111         	32.466667         	27.444444         	26.655556         	26.633333           	|3653.703704       	4193.333333       	2581.481481       	2332.962963       	1998.888889         	|
2_5       	12110ms           	7757ms            	3055737ms         	2617404ms         	2532780ms           	|0.744444          	0.700000          	0.811111          	0.822222          	0.833333            	|27                	24                	27                	26                	21                  	|3.800000          	3.066667          	2.411111          	3.133333          	2.277778            	|28.577778         	31.177778         	28.833333         	26.677778         	25.355556           	|2508.148148       	3039.259259       	1850.000000       	1667.037037       	1511.851852         	|
2_6       	5565ms            	6118ms            	2324048ms         	2450396ms         	2122107ms           	|0.633333          	0.544444          	0.688889          	0.700000          	0.800000            	|30                	32                	29                	33                	31                  	|6.077778          	5.366667          	3.844444          	4.277778          	2.800000            	|31.377778         	34.855556         	31.133333         	29.344444         	27.155556           	|3712.592593       	4717.407407       	3148.888889       	2978.148148       	1905.185185         	|
2_7       	8011ms            	6974ms            	2564453ms         	2498629ms         	2316067ms           	|0.700000          	0.655556          	0.777778          	0.833333          	0.855556            	|28                	21                	26                	28                	24                  	|4.388889          	3.677778          	3.444444          	3.111111          	1.522222            	|31.455556         	32.977778         	29.200000         	27.733333         	26.477778           	|3048.518519       	3543.703704       	2195.555556       	1591.111111       	1327.037037         	|
2_8       	7610ms            	6209ms            	2213982ms         	2085744ms         	1994157ms           	|0.600000          	0.511111          	0.700000          	0.733333          	0.722222            	|30                	27                	29                	30                	29                  	|6.255556          	5.733333          	4.677778          	4.255556          	4.188889            	|32.311111         	34.455556         	29.922222         	26.800000         	27.500000           	|4077.037037       	5037.407407       	2997.407407       	2560.000000       	2694.444444         	|
2_9       	8815ms            	6105ms            	2325077ms         	1860781ms         	2148606ms           	|0.677778          	0.633333          	0.766667          	0.788889          	0.788889            	|29                	29                	25                	29                	29                  	|5.022222          	4.544444          	3.200000          	2.900000          	3.166667            	|32.055556         	34.511111         	29.722222         	27.666667         	29.288889           	|3290.740741       	3817.037037       	2324.074074       	2033.333333       	2087.407407         	|
2_10      	10076ms           	6393ms            	2057089ms         	1932567ms         	2138880ms           	|0.555556          	0.488889          	0.688889          	0.711111          	0.755556            	|27                	27                	27                	28                	26                  	|6.222222          	6.355556          	4.244444          	4.655556          	3.088889            	|33.344444         	34.922222         	30.111111         	28.666667         	26.966667           	|4555.925926       	5275.185185       	3114.814815       	2844.444444       	2343.333333         	|
2_11      	10631ms           	6465ms            	2012130ms         	1982191ms         	2310883ms           	|0.655556          	0.577778          	0.744444          	0.733333          	0.744444            	|34                	28                	34                	33                	33                  	|4.800000          	4.800000          	4.244444          	5.366667          	4.544444            	|29.633333         	32.844444         	29.233333         	28.166667         	28.577778           	|3432.222222       	4317.037037       	2530.000000       	2605.555556       	2508.148148         	|
2_12      	8597ms            	5782ms            	1702550ms         	1835211ms         	1940667ms           	|0.611111          	0.544444          	0.677778          	0.677778          	0.722222            	|34                	31                	34                	32                	31                  	|5.555556          	5.033333          	4.633333          	5.400000          	3.166667            	|33.933333         	34.922222         	33.133333         	31.233333         	30.911111           	|4020.000000       	4719.629630       	3326.666667       	3263.333333       	2808.148148         	|
2_13      	10026ms           	6499ms            	1942600ms         	1867146ms         	2174185ms           	|0.755556          	0.700000          	0.800000          	0.844444          	0.911111            	|30                	30                	27                	21                	28                  	|4.133333          	3.633333          	2.800000          	2.588889          	1.244444            	|27.944444         	30.477778         	27.511111         	26.022222         	23.688889           	|2375.925926       	3015.925926       	1917.037037       	1422.962963       	678.518519          	|
2_14      	6053ms            	6220ms            	1825118ms         	1713039ms         	2064939ms           	|0.666667          	0.611111          	0.733333          	0.744444          	0.777778            	|34                	32                	32                	32                	31                  	|4.777778          	4.855556          	3.400000          	3.755556          	2.288889            	|30.822222         	32.644444         	29.566667         	27.611111         	27.022222           	|3360.740741       	3977.037037       	2652.222222       	2475.925926       	2122.962963         	|
2_15      	6633ms            	6940ms            	1905310ms         	1993130ms         	2269322ms           	|0.733333          	0.722222          	0.811111          	0.833333          	0.966667            	|24                	19                	24                	27                	23                  	|3.800000          	2.055556          	2.033333          	2.166667          	0.488889            	|28.711111         	30.455556         	28.344444         	28.166667         	23.611111           	|2623.703704       	2792.962963       	1833.703704       	1605.555556       	120.370370          	|
2_16      	9798ms            	6271ms            	2046724ms         	2086124ms         	2307041ms           	|0.633333          	0.566667          	0.744444          	0.744444          	0.755556            	|39                	33                	35                	36                	25                  	|5.444444          	4.688889          	4.344444          	4.288889          	1.566667            	|31.000000         	34.200000         	31.488889         	30.844444         	29.033333           	|3700.000000       	4473.333333       	2605.185185       	2583.703704       	2412.222222         	|
2_17      	6034ms            	6365ms            	1732563ms         	1836054ms         	1826327ms           	|0.611111          	0.533333          	0.722222          	0.711111          	0.733333            	|31                	32                	33                	31                	30                  	|6.377778          	5.566667          	4.033333          	5.422222          	2.988889            	|34.022222         	36.500000         	32.288889         	31.977778         	30.488889           	|4022.962963       	4883.333333       	2854.074074       	2954.814815       	2682.962963         	|
2_18      	8890ms            	6055ms            	1887023ms         	1892813ms         	1845031ms           	|0.600000          	0.544444          	0.688889          	0.711111          	0.733333            	|31                	32                	33                	31                	30                  	|6.288889          	6.377778          	4.166667          	4.522222          	4.133333            	|30.700000         	34.833333         	29.388889         	27.366667         	29.066667           	|4023.333333       	4716.666667       	3090.740741       	2801.111111       	2635.555556         	|
2_19      	7394ms            	6237ms            	1716292ms         	1682403ms         	1713315ms           	|0.655556          	0.555556          	0.722222          	0.744444          	0.777778            	|29                	30                	29                	31                	24                  	|5.066667          	5.444444          	3.588889          	4.377778          	2.333333            	|32.977778         	35.166667         	31.900000         	29.622222         	29.877778           	|3543.703704       	4616.666667       	2841.111111       	2542.962963       	2218.148148         	|
3_0       	5935ms            	5861ms            	1861502ms         	1912885ms         	1945130ms           	|0.555556          	0.522222          	0.666667          	0.700000          	0.722222            	|34                	33                	34                	35                	29                  	|6.722222          	5.155556          	4.411111          	6.577778          	2.911111            	|32.977778         	35.833333         	32.744444         	32.311111         	30.677778           	|4543.703704       	4972.222222       	3424.814815       	3077.037037       	2800.370370         	|
3_1       	7336ms            	6443ms            	1982196ms         	2005739ms         	1882198ms           	|0.644444          	0.566667          	0.755556          	0.744444          	0.777778            	|33                	28                	32                	32                	31                  	|6.511111          	5.333333          	4.022222          	4.800000          	2.522222            	|32.722222         	36.633333         	32.100000         	31.222222         	28.966667           	|3646.296296       	4554.444444       	2514.444444       	2596.296296       	2187.777778         	|
3_2       	7120ms            	6120ms            	1826648ms         	3094890ms         	1545429ms           	|0.566667          	0.500000          	0.644444          	0.644444          	0.688889            	|32                	32                	33                	34                	30                  	|7.533333          	7.377778          	4.922222          	6.744444          	4.488889            	|35.511111         	37.866667         	33.144444         	32.933333         	32.644444           	|4517.037037       	5262.222222       	3660.370370       	3653.333333       	3199.259259         	|
3_3       	6741ms            	6386ms            	1890294ms         	3234440ms         	1502140ms           	|0.622222          	0.588889          	0.733333          	0.755556          	0.788889            	|32                	29                	31                	31                	31                  	|5.866667          	4.800000          	3.522222          	3.944444          	2.655556            	|34.444444         	34.666667         	31.377778         	29.433333         	27.955556           	|3925.925926       	4266.666667       	2712.592593       	2425.555556       	2042.962963         	|
3_4       	5874ms            	5366ms            	2556253ms         	2916587ms         	1369556ms           	|0.566667          	0.455556          	0.644444          	0.666667          	0.711111            	|34                	31                	30                	35                	37                  	|6.777778          	5.888889          	4.588889          	6.111111          	6.011111            	|34.677778         	38.066667         	33.533333         	32.788889         	32.044444           	|4489.259259       	5713.333333       	3673.333333       	3426.296296       	2957.037037         	|
3_5       	8039ms            	6896ms            	3262473ms         	3041305ms         	1753877ms           	|0.677778          	0.644444          	0.755556          	0.800000          	0.877778            	|30                	30                	26                	27                	28                  	|5.033333          	4.377778          	3.922222          	3.466667          	2.266667            	|29.522222         	31.666667         	28.588889         	26.277778         	25.066667           	|3206.296296       	3611.111111       	2397.407407       	1875.925926       	1057.777778         	|
3_6       	5514ms            	5961ms            	2756399ms         	2983514ms         	1516740ms           	|0.533333          	0.511111          	0.655556          	0.677778          	0.711111            	|33                	33                	33                	32                	26                  	|8.311111          	5.522222          	5.266667          	5.077778          	3.077778            	|36.833333         	38.400000         	36.144444         	32.744444         	29.866667           	|4894.444444       	5168.888889       	3649.259259       	3313.703704       	2884.444444         	|
3_7       	5602ms            	6054ms            	3228443ms         	3571603ms         	1653257ms           	|0.588889          	0.500000          	0.633333          	0.666667          	0.755556            	|33                	31                	32                	32                	32                  	|6.877778          	5.777778          	5.388889          	6.055556          	4.233333            	|32.388889         	35.733333         	32.933333         	29.711111         	29.355556           	|4190.740741       	5191.111111       	3764.444444       	3323.703704       	2422.962963         	|
